id,ICAO CODE,IATA CODE,AIRPORT NAME,CITY,COUNTRY,Latitude,Longitude
1006,FLSO,KIW,SOUTHDOWNS,SOUTHDOWNS,ZAMBIA,-12.9,28.15
1007,FLZB,N/A,ZAMBEZI,ZAMBEZI,ZAMBIA,-13.539,23.11
1008,FMCH,HAH,MORONI HAHAIA,MORONI,COMOROS ISLANDS,-11.534,43.272
1009,FMCI,NWA,MOHELI BANDAR ES SALAM,MOHELI,COMOROS ISLANDS,-12.298,43.766
1010,FMCN,YVA,MORONI ICONI,MORONI,COMOROS ISLANDS,-11.711,43.244
1011,FMCV,AJN,ANJOUAN OUANI,ANJOUAN,COMOROS ISLANDS,-12.132,44.43
1012,FMCZ,DZA,DZAOUDZI PAMANZI,DZAOUDZI,MAYOTTE ISLAND,-12.805,45.281
1013,FMEE,RUN,ST DENIS GILLOT,ST.-DENIS,REUNION ISLAND,-20.887,55.51
1014,FMEP,ZSE,ST PIERRE PIERREFONDS,ST.-PIERRE,REUNION ISLAND,-21.321,55.425
1015,FMMI,TNR,ANTANANARIVO IVATO,ANTANANARIVO,MADAGASCAR,-18.797,47.479
1016,FMMN,ZVA,MIANDRIVAZO,MIANDRIVAZO,MADAGASCAR,-19.563,45.451
1017,FMMS,SMS,SAINTE MARIE,SAINTE MARIE,MADAGASCAR,-17.094,49.816
1018,FMMT,TMM,TOAMASINA,TOAMASINA,MADAGASCAR,-18.109,49.392
1019,FMMV,MOQ,MORONDAVA,MORONDAVA,MADAGASCAR,-20.285,44.318
1020,FMNA,DIE,ANTSIRANANA ARRACHART,ANTSIRANANA,MADAGASCAR,-12.349,49.292
1021,FMNC,WMR,MANANARA AVARATRA,MANANARA,MADAGASCAR,-16.164,49.774
1022,FMND,ZWA,ANDAPA,ANDAPA,MADAGASCAR,-14.652,49.621
1023,FMNE,AMB,AMBILOBE MAHAVAVY,AMBILOBE,MADAGASCAR,-13.188,48.988
1024,FMNH,ANM,ANTALAHA ANTSIRABATO,ANTALAHA,MADAGASCAR,-14.999,50.32
1025,FMNL,HVA,ANALALAVA,ANALALAVA,MADAGASCAR,-14.629,47.764
1026,FMNM,MJN,MAHAJANGA PHILIBERT TSIRANANA,MAHAJANGA,MADAGASCAR,-15.667,46.352
1027,FMNN,NOS,NOSY BE FASCENE,NOSY-BE,MADAGASCAR,-13.312,48.314
1028,FMNQ,BPY,BESALAMPY,BESALAMPY,MADAGASCAR,-16.742,44.481
1029,FMNR,WMN,MAROANTSETRA,MAROANTSETRA,MADAGASCAR,-15.437,49.688
1030,FMNS,SVB,SAMBAVA SUD,SAMBAVA,MADAGASCAR,-14.279,50.175
1031,FMNV,VOH,VOHIMARINA,VOHEMAR,MADAGASCAR,-13.376,50.003
1032,FMNW,WAI,ANTSOHIHY AMBALABE,ANTSOHIHY,MADAGASCAR,-14.899,47.994
1033,FMNZ,N/A,AMPAMPAMENA,AMPAMPAMENA,MADAGASCAR,-13.485,48.633
1034,FMSD,FTU,TOLAGNARO,TOLAGNARO,MADAGASCAR,-25.038,46.956
1035,FMSF,WFI,FIANARANTSOA,FIANARANTSOA,MADAGASCAR,-21.441,47.112
1036,FMSG,RVA,FARAFANGANA,FARAFANGANA,MADAGASCAR,-22.805,47.821
1037,FMSK,WVK,MANAKARA SUD,MANAKARA,MADAGASCAR,-22.12,48.022
1038,FMSM,MNJ,MANANJARY,MANANJARY,MADAGASCAR,-21.202,48.358
1039,FMSR,MXM,MOROMBE,MOROMBE,MADAGASCAR,-21.754,43.375
1040,FMST,TLE,TOLIARA,TOLIARA,MADAGASCAR,-23.383,43.728
1041,FNBC,SSY,MBANZA CONGO,M'BANZA-CONGO,ANGOLA,-6.27,14.247
1042,FNBG,BUG,BENGUELA,BENGUELA,ANGOLA,-12.609,13.404
1043,FNCA,CAB,CABINDA,CABINDA,ANGOLA,-5.597,12.188
1044,FNCH,PGI,CHITATO,CHITATO,ANGOLA,-7.357,20.804
1045,FNCX,N/A,CAMAXILO,CAMAXILO,ANGOLA,-8.374,18.924
1046,FNCZ,CAV,CAZOMBO,CAZOMBO,ANGOLA,-11.894,22.916
1047,FNGI,NGV,NGIVA,N'GIVA,ANGOLA,-17.045,15.687
1048,FNHU,NOV,HUAMBO,HUAMBO,ANGOLA,-12.809,15.76
1049,FNKU,SVP,KUITO,KUITO,ANGOLA,-12.404,16.947
1050,FNLB,N/A,LOBITO,LOBITO,ANGOLA,-12.371,13.536
1051,FNLU,LAD,LUANDA 4 DE FEVEREIRO,LUANDA,ANGOLA,-8.858,13.231
1052,FNMA,MEG,MALANJE,MALANJE,ANGOLA,-9.525,16.312
1053,FNME,SPP,MENONGUE,MENONGUE,ANGOLA,-14.658,17.72
1054,FNMO,N/A,NAMIBE,MOCAMEDES,ANGOLA,-15.261,12.147
1055,FNNG,GXG,NEGAGE,NEGAGE,ANGOLA,-7.754,15.287
1056,FNPA,PBN,PORTO AMBOIM,PORTO AMBOIM,ANGOLA,-10.722,13.765
1057,FNSA,VHC,SAURIMO,SAURIMO,ANGOLA,-9.689,20.432
1058,FNSO,SZA,SOYO,SOYO,ANGOLA,-6.141,12.372
1059,FNTO,N/A,TOTO,TOTO,ANGOLA,-7.147,14.248
1060,FNUE,LUO,LUENA,LUENA,ANGOLA,-11.768,19.898
1061,FNUG,UGO,UIGE,UIGE,ANGOLA,-7.603,15.028
1062,FNXA,XGN,XANGONGO,XANGONGO,ANGOLA,-16.755,14.965
1063,FOGO,OYE,OYEM,OYEM,GABON,1.541,11.581
1064,FOGQ,OKN,OKONDJA,OKONDJA,GABON,-0.665,13.673
1065,FOGR,LBQ,LAMBARENE,LAMBARENE,GABON,-0.704,10.246
1066,FOOB,BMM,BITAM,BITAM,GABON,2.076,11.493
1067,FOOD,MFF,MOANDA,MOANDA,GABON,-1.537,13.269
1068,FOOG,POG,PORT GENTIL,PORT GENTIL,GABON,-0.712,8.754
1069,FOOH,OMB,OMBOUE HOPITAL,OMBOUE HOSPIAL,GABON,-1.575,9.263
1070,FOOK,MKU,MAKOKOU,MAKOKOU,GABON,0.579,12.891
1071,FOOL,LBV,LIBREVILLE LEON M BA,LIBREVILLE,GABON,0.458,9.412
1072,FOOM,MZC,MITZIC,MITZIC,GABON,0.776,11.553
1073,FOON,MVB,FRANCEVILLE MVENGUE,FRANCEVILLE,GABON,-1.656,13.438
1074,FOOR,LTL,LASTOURVILLE,LASTOURVILLE,GABON,-0.826,12.747
1075,FOOT,TCH,TCHIBANGA,TCHIBANGA,GABON,-2.889,10.919
1076,FPPR,PCP,PRINCIPE,PRINCIPE,SAO TOME & PRINCIPE,1.663,7.412
1077,FPST,TMS,SAO TOME INTERNATIONAL,SAO TOME,SAO TOME & PRINCIPE,0.378,6.712
1078,FQBR,BEW,BEIRA,BEIRA,MOZAMBIQUE,-19.796,34.907
1079,FQCB,FXO,CUAMBA,CUAMBA,MOZAMBIQUE,-14.82,36.532
1080,FQCH,N/A,CHIMOIO,CHIMOIO,MOZAMBIQUE,-19.151,33.429
1081,FQES,N/A,ESTIMA,ESTIMA,MOZAMBIQUE,-15.734,32.757
1082,FQIN,INH,INHAMBANE,INHAMBANE,MOZAMBIQUE,-23.876,35.408
1083,FQLC,VXC,LICHINGA,LICHINGA,MOZAMBIQUE,-13.274,35.266
1084,FQLU,N/A,LUMBO,LUMBO,MOZAMBIQUE,-15.033,40.672
1085,FQMA,MPM,MAPUTO,MAPUTO,MOZAMBIQUE,-25.921,32.573
1086,FQMD,N/A,MUEDA,MUEDA,MOZAMBIQUE,-11.673,39.563
1087,FQMP,MZB,MOCIMBOA DA PRAIA,MOCIMBOA DA PRAIA,MOZAMBIQUE,-11.362,40.355
1088,FQMR,N/A,MARRUPA,MARRUPA,MOZAMBIQUE,-13.225,37.552
1089,FQNC,MNC,NACALA,NACALA,MOZAMBIQUE,-14.488,40.712
1090,FQNP,APL,NAMPULA,NAMPULA,MOZAMBIQUE,-15.106,39.282
1091,FQPB,POL,PEMBA,PEMBA,MOZAMBIQUE,-12.987,40.522
1092,FQQL,UEL,QUELIMANE,QUELIMANE,MOZAMBIQUE,-17.856,36.869
1093,FQSG,N/A,SONGO,SONGO,MOZAMBIQUE,-15.602,32.773
1094,FQTT,TET,TETE CHINGOZI,TETE,MOZAMBIQUE,-16.105,33.64
1095,FQUG,N/A,ULONGWE,ULONGWE,MOZAMBIQUE,-14.704,34.352
1096,FQVL,VNX,VILANKULO,VILANKULU,MOZAMBIQUE,-22.018,35.313
1097,FSAL,N/A,ALPHONSE,ALPHONSE,SEYCHELLES,-7.005,52.726
1098,FSDR,DES,DESROCHES,DESROCHES,SEYCHELLES,-5.696,53.654
1099,FSFA,N/A,FARQUHAR,FARQUHAR,SEYCHELLES,-10.109,51.176
1100,FSIA,SEZ,SEYCHELLES INTERNATIONAL,MAHE,SEYCHELLES,-4.674,55.522
1101,FSPP,PRI,PRASLIN,PRASLIN,SEYCHELLES,-4.319,55.691
1102,FSSC,N/A,COETIVY,COETIVY,SEYCHELLES,-7.164,56.264
1103,FTTA,SRH,SARH,SARH,CHAD,9.151,18.379
1104,FTTC,AEH,ABECHE,ABECHE,CHAD,13.847,20.844
1105,FTTD,MQQ,MOUNDOU,MOUNDOU,CHAD,8.62,16.068
1106,FTTJ,NDJ,NDJAMENA,N'DJAMENA,CHAD,12.134,15.034
1107,FTTP,PLF,PALA,PALA,CHAD,9.379,14.926
1108,FTTY,FYT,FAYA LARGEAU,FAYA-LARGEAU,CHAD,17.917,19.111
1109,FVBU,BUQ,JOSHUA MQABUKO NKOMO INTERNATIONAL,BULAWAYO,ZIMBABWE,-20.017,28.618
1110,FVCP,N/A,HARARE CHARLES PRINCE,HARARE,ZIMBABWE,-17.751,30.924
1111,FVCZ,BFO,CHIREDZI BUFFALO RANGE,CHIREDZI,ZIMBABWE,-21.008,31.578
1112,FVFA,VFA,VICTORIA FALLS INTERNATIONAL,VICTORIA FALLS,ZIMBABWE,-18.096,25.839
1113,FVGR,UTA,MUTARE GRAND REEF,MUTARE,ZIMBABWE,-18.977,32.451
1114,FVHA,HRE,HARARE INTERNATIONAL,HARARE,ZIMBABWE,-17.932,31.093
1115,FVKB,KAB,KARIBA INTERNATIONAL,KARIBA,ZIMBABWE,-16.52,28.885
1116,FVMT,N/A,MUTOKO,MUTOKO,ZIMBABWE,-17.432,32.184
1117,FVMU,N/A,MUTARE,MUTARE,ZIMBABWE,-18.998,32.627
1118,FVMV,MVZ,MASVINGO,MASVINGO,ZIMBABWE,-20.055,30.859
1119,FVSH,N/A,ZVISHAVANE,ZVISHAVANE,ZIMBABWE,-20.289,30.088
1120,FVTL,GWE,GWERU THORNHILL,GWERT,ZIMBABWE,-19.437,29.862
1121,FVWN,WKM,HWANGE NATIONAL PARK,HWANGE NATIONAL PARK,ZIMBABWE,-18.63,27.021
1122,FVZC,N/A,ZISCO,ZISCO,ZIMBABWE,-19.029,29.722
1123,FWCL,BLZ,CHILEKA INTERNATIONAL,BLANTYRE,MALAWI,-15.679,34.974
1124,FWKA,KGJ,KARONGA,KARONGA,MALAWI,-9.953,33.893
1125,FWKG,N/A,KASUNGU,KASUNGU,MALAWI,-13.014,33.468
1126,FWMG,N/A,MARIANNA MUNI,MANGOCHI,MALAWI,30.838,-85.182
1127,FWUU,ZZU,MZUZU,MZUZU,MALAWI,-11.445,34.012
1128,FXMM,MSU,MOSHOESHOE I INTERNATIONAL,MASERU,LESOTHO,-29.462,27.553
1129,FXMU,N/A,MEJAMETALANA,MASERU,LESOTHO,-29.304,27.503
1130,FZAA,FIH,KINSHASA NDJILI INTERNATIONAL,KINSHASA,ZAIRE,-4.386,15.444
1131,FZAB,NLO,KINSHASA NDOLO,KINSHASA,ZAIRE,-4.325,15.328
1132,FZAG,MNB,MUANDA,MUANDA,ZAIRE,-5.931,12.352
1133,FZAI,N/A,KITONA BASE,KITONA BASE,ZAIRE,-5.918,12.447
1134,FZAM,MAT,MATADI TSHIMPI,MATADI,ZAIRE,-5.799,13.441
1135,FZBO,FDU,BANDUNDU,BANDOUNDU,ZAIRE,-3.311,17.382
1136,FZCA,KKW,KIKWIT,KIKWIT,ZAIRE,-5.036,18.786
1137,FZEA,MDK,MBANDAKA,MBANDAKA,ZAIRE,0.022,18.289
1138,FZFD,BDT,GBADOLITE,GBADOLITE,ZAIRE,4.253,20.975
1139,FZFK,GMA,GEMENA,GEMENA,ZAIRE,3.235,19.771
1140,FZFP,N/A,KOTAKOLI,KOTAKOLI,ZAIRE,4.158,21.651
1141,FZGA,LIQ,LISALA,LISALA,ZAIRE,2.171,21.497
1142,FZIA,FKI,KISANGANI SIMISINI,KISANGANI,ZAIRE,0.518,25.155
1143,FZJH,IRP,ISIRO MATARI,ISIRO,ZAIRE,2.827,27.588
1144,FZKA,BUX,BUNIA,BUNIA,ZAIRE,1.566,30.221
1145,FZKJ,N/A,BUTA ZEGA,BUTA ZEGA,ZAIRE,2.818,24.794
1146,FZMA,BKY,BUKAVU KAVUMU,BUKAVU/KAVUMU,ZAIRE,-2.309,28.809
1147,FZNA,GOM,GOMA,GOMA,ZAIRE,-1.671,29.238
1148,FZOA,KND,KINDU,KINDU,ZAIRE,-2.919,25.915
1149,FZQA,FBM,LUBUMBASHI INTERNATIONAL,LUBUMASHI,ZAIRE,-11.591,27.531
1150,FZQM,KWZ,KOLWEZI,KOLWEZI,ZAIRE,-10.766,25.506
1151,FZRF,FMI,KALEMIE,KALEMIE,ZAIRE,-5.876,29.25
1152,FZSA,KMN,KAMINA BASE,KAMINA BASE,ZAIRE,-8.642,25.253
1153,FZTL,N/A,LUENA,LUENA,ZAIRE,-9.469,25.759
1154,FZUA,KGA,KANANGA,KANANGA,ZAIRE,-5.9,22.469
1155,FZWA,MJM,MBUJI MAYI,MBUJI-MAYI,ZAIRE,-6.121,23.569
1156,GABS,BKO,BAMAKO SENOU,BAMAKO,MALI,12.533,-7.95
1157,GAGO,GAQ,GAO,GAO,MALI,16.248,-0.005
1158,GAKY,KYS,KAYES,KAYES,MALI,14.431,-11.439
1159,GAMB,MZI,MOPTI AMBODEDJO,MOPTI,MALI,14.513,-4.079
1160,GANR,NIX,NIORO,NIORO,MALI,15.239,-9.576
1161,GATB,TOM,TOMBOUCTOU,TOMBOUCTOU,MALI,16.73,-3.007
1162,GATS,N/A,TESSALIT,TESSALIT,MALI,20.246,0.981
1163,GBYD,BJL,BANJUL INTERNATIONAL,BANJUL,GAMBIA,13.338,-16.652
1164,GCFV,FUE,FUERTEVENTURA,FUERTEVENTURA,CANARY ISLANDS,28.453,-13.864
1165,GCHI,VDE,HIERRO,HIERRO,CANARY ISLANDS,27.815,-17.887
1166,GCLA,SPC,LA PALMA,SANTA CRUZ DE LA PALMA,SPAIN,28.626,-17.756
1167,GCLP,LPA,GRAN CANARIA,GRAN CANARIA,CANARY ISLANDS,27.932,-15.386
1168,GCRR,ACE,LANZAROTE,LANZEROTE,CANARY ISLANDS,28.945,-13.605
1169,GCTS,TFS,TENERIFE SUR,TENERIFE,CANARY ISLANDS,28.044,-16.572
1170,GCXO,TFN,TENERIFE NORTE,TENERIFE,CANARY ISLANDS,28.482,-16.341
1171,GEML,MLN,MELILLA,MELILLA,SPANISH NORTH AFRICA,35.28,-2.956
1172,GFHA,HGS,HASTINGS,HASTINGS,SIERRA LEONE,8.394,-13.128
1173,GFLL,FNA,FREETOWN LUNGI,FREETOWN,SIERRA LEONE,8.616,-13.195
1174,GGCF,N/A,CUFAR,CUFAR,GUINEA BISSAU,11.288,-15.181
1175,GGOV,BXO,BISSAU OSWALDO VIEIRA INTERNATIONAL,BISSAU,GUINEA BISSAU,11.895,-15.654
1176,GLMR,MLW,MONROVIA SPRIGGS PAYNE,MONROVIA,LIBERIA,6.289,-10.759
1177,GLRB,ROB,MONROVIA ROBERTS INTERNATIONAL,MONROVIA,LIBERIA,6.234,-10.362
1178,GMAA,AGA,INEZGANE,AGADIR,MOROCCO,30.381,-9.546
1179,GMAT,TTA,PLAGE BLANCHE,TAN TAN,MOROCCO,28.448,-11.161
1180,GMFF,FEZ,SAISS,FEZ,MOROCCO,33.927,-4.978
1181,GMFI,N/A,IFRANE,IFRANE,MOROCCO,33.505,-5.153
1182,GMFK,ERH,MOULAY ALI CHERIF,ER-RACHIDIA,MOROCCO,31.949,-4.401
1183,GMFM,MEK,BASSATINE,MEKNES,MOROCCO,33.879,-5.515
1184,GMFN,N/A,TAOUIMA,NADOR,MOROCCO,35.153,-2.92
1185,GMFO,OUD,ANGADS,OUJDA,MOROCCO,34.787,-1.924
1186,GMMC,CAS,ANFA,CASABLANCA,MOROCCO,33.553,-7.661
1187,GMME,RBA,SALE,RABAT,MOROCCO,34.051,-6.751
1188,GMMF,SII,SIDI IFNI,SIDI IFINI,MOROCCO,29.369,-10.18
1189,GMMI,N/A,ESSAOUIRA,ESSADOUIRA,MOROCCO,31.404,-9.685
1190,GMMN,CMN,MOHAMMED V,CASABLANCA,MOROCCO,33.368,-7.588
1191,GMMX,RAK,MENARA,MARRAKECH,MOROCCO,31.607,-8.036
1192,GMMY,NNA,KENITRA,KENTIRA,MOROCCO,34.299,-6.596
1193,GMMZ,OZZ,OUARZAZATE,OUARZAZATE,MOROCCO,30.939,-6.909
1194,GMTA,AHU,CHERIF EL IDRISSI,AL HOCIEMA,MOROCCO,35.177,-3.839
1195,GMTN,TTU,SANIAT RMEL,TETOUAN,MOROCCO,35.594,-5.32
1196,GMTT,TNG,IBN BATOUTA,TANGER,MOROCCO,35.727,-5.917
1197,GOGG,ZIG,ZIGUINCHOR,ZIGUINCHOR,SENEGAL,12.556,-16.282
1198,GOGK,KDA,KOLDA,KOLDA,SENEGAL,12.88,-14.955
1199,GOGS,CSK,CAP SKIRING,CAP SKIRING,SENEGAL,12.41,-16.746
1200,GOOK,KLC,KAOLACK,KAOLACK,SENEGAL,14.147,-16.051
1201,GOOY,DKR,LEOPOLD SEDAR SENGHOR INTERNATIONAL,DAKAR,SENEGAL,14.739,-17.49
1202,GOSS,XLS,SAINT LOUIS,ST. LOUIS,SENEGAL,16.05,-16.461
1203,GOTB,BXE,BAKEL,BAKEL,SENEGAL,14.847,-12.468
1204,GOTK,KGG,KEDOUGOU,KEDOUGOU,SENEGAL,12.572,-12.22
1205,GOTT,TUD,TAMBACOUNDA,TAMBACOUNDA,SENEGAL,13.737,-13.653
1206,GQNA,IEO,AIOUN EL ATROUSS,AIOUN EL ATROUSS,MAURITANIA,16.711,-9.638
1207,GQND,TIY,TIDJIKJA,TIDJIKJA,MAURITANIA,18.57,-11.423
1208,GQNF,KFA,KIFFA,KIFFA,MAURITANIA,16.59,-11.406
1209,GQNI,EMN,NEMA,NEMA,MAURITANIA,16.622,-7.314
1210,GQNK,KED,KAEDI,KAEDI,MAURITANIA,16.159,-13.508
1211,GQNN,NKC,NOUAKCHOTT,NOUAKSCHOTT,MAURITANIA,18.098,-15.948
1212,GQNS,SEY,SELIBADY,SELIBABI,MAURITANIA,15.179,-12.207
1213,GQPA,ATR,ATAR,ATAR,MAURITANIA,20.507,-13.043
1214,GQPP,NDB,NOUADHIBOU,NOUADHIBOU,MAURITANIA,20.928,-17.031
1215,GQPT,N/A,BIR MOGHREIN,BIR MOGHREIN,MAURITANIA,25.237,-11.589
1216,GUFA,FIG,FRIA,FIRA,GUINEA,10.351,-13.569
1217,GUFH,FAA,FARANAH,FARANAH,GUINEA,10.036,-10.77
1218,GULB,LEK,LABE,LABE,GUINEA,11.326,-12.287
1219,GUMA,MCA,MACENTA,MACENTA,GUINEA,8.481,-9.526
1220,GUNZ,NZE,NZEREKORE,N'ZEREKORE,GUINEA,7.806,-8.702
1221,GVAC,SID,AMILCAR CABRAL INTERNATIONAL,AMILCAR CABRAL,CAPE VERDE ISLANDS,16.741,-22.949
1222,GVBA,BVC,RABIL,BOA VISTA,CAPE VERDE ISLANDS,16.137,-22.889
1223,GVFM,RAI,FRANCISCO MENDES,FRANCISCO MENDEZ,CAPE VERDE ISLANDS,14.924,-23.493
1224,GVMA,MMO,MAIO,MAIO,CAPE VERDE ISLANDS,15.156,-23.214
1225,GVSN,SNE,PREGUICA,SAO NOCOLAU ISLAND,CAPE VERDE ISLANDS,16.588,-24.284
1226,GVSV,VXE,SAO PEDRO,SAO VICENTE ISLAND,CAPE VERDE ISLANDS,16.834,-25.057
1227,HAAB,ADD,BOLE INTERNATIONAL,ADDIS ABABA,ETHIOPIA,8.977,38.8
1228,HAAL,N/A,LIDETA,ADDIS ABABA,ETHIOPIA,9.004,38.726
1229,HABD,BJR,BAHIR DAR,BAHAR DAR,ETHIOPIA,11.608,37.321
1230,HADR,DIR,ABA TENNA DEJAZMATCH YILMA INTERNATIONAL,DIRE DAWA,ETHIOPIA,9.625,41.854
1231,HAGM,GMB,GAMBELLA,GAMBELLA,ETHIOPIA,8.128,34.563
1232,HAGN,GDQ,GONDER,GONDAR,ETHIOPIA,12.518,37.432
1233,HAHM,N/A,HARAR MEDA,DEBRE ZEIT,ETHIOPIA,8.716,39.008
1234,HAJM,JIM,ABA SEGUD,JIMMA,ETHIOPIA,7.666,36.816
1235,HALL,LLI,LALIBELLA,LALIBELLA,ETHIOPIA,11.975,38.98
1236,HAMK,MQX,MEKELE,MAKALE,ETHIOPIA,13.467,39.533
1237,HBBA,BJM,BUJUMBURA INTERNATIONAL,BUJUMBURA,BURUNDI,-3.324,29.318
1238,HCMB,N/A,BAIDOA,BAIDOA,SOMALIA,3.099,43.624
1239,HCMH,HGA,HARGEISA,HARGEISA,SOMALIA,9.518,44.089
1240,HCMI,BBO,BERBERA,BERBERA,SOMALIA,10.389,44.941
1241,HCMK,KMU,KISIMAYU,KISMAYU,SOMALIA,-0.377,42.459
1242,HCMM,MGQ,MOGADISHU,MOGADISHU,SOMALIA,2.014,45.305
1243,HEAR,N/A,EL ARISH INTERNATIONAL,EL ARISH,EGYPT,31.073,33.836
1244,HEAT,N/A,ASYUT INTERNATIONAL,ASYUT,EGYPT,27.046,31.012
1245,HEAX,ALY,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,EGYPT,31.184,29.949
1246,HEBL,ABS,ABU SIMBEL,ABU SIMBEL,EGYPT,22.376,31.612
1247,HECA,CAI,CAIRO INTERNATIONAL,CAIRO,EGYPT,30.122,31.406
1248,HECW,N/A,CAIRO WEST,CAIRO,EGYPT,30.116,30.915
1249,HEEM,N/A,EMBABA,EMBABA,EGYPT,30.074,31.192
1250,HEGN,HRG,HURGHADA INTERNATIONAL,HURGHADA,EGYPT,27.184,33.798
1251,HEGR,N/A,EL GORA,EL-GORA,EGYPT,31.069,34.129
1252,HELX,LXR,LUXOR INTERNATIONAL,LUXOR,EGYPT,25.671,32.706
1253,HEMM,MUH,MERSA MATRUH,MERSA-MATRUH,EGYPT,31.325,27.222
1254,HEPS,PSD,PORT SAID,PORT SAID,EGYPT,31.279,32.24
1255,HESC,SKV,ST CATHERINE INTERNATIONAL,ST. CATHERINE,EGYPT,28.685,34.063
1256,HESN,ASW,ASWAN INTERNATIONAL,ASWAN,EGYPT,23.964,32.82
1257,HETR,ELT,EL TOR,EL-TOR,EGYPT,28.209,33.645
1258,HKEL,EDL,ELDORET INTERNATIONAL,ELDORET,KENYA,0.404,35.238
1259,HKGA,GAS,GARISSA,GARISSA,KENYA,-0.463,39.648
1260,HKIS,N/A,ISIOLO,ISIOLO,KENYA,0.339,37.591
1261,HKKG,N/A,KAKAMEGA,KAKAMEGA,KENYA,0.271,34.787
1262,HKKI,KIS,KISUMU,KISUMU,KENYA,-0.086,34.729
1263,HKKT,KTL,KITALE,KITALE,KENYA,0.972,34.958
1264,HKLK,N/A,LOKICHOGGIO,LOKICHOGGIO,KENYA,4.204,34.348
1265,HKLO,LOK,LODWAR,LODWAR,KENYA,3.122,35.609
1266,HKLU,LAU,LAMU MANDA,LAMU,KENYA,-2.252,40.913
1267,HKLY,LOY,LOYENGALANI,LOYANGALANI,KENYA,2.763,36.718
1268,HKMA,NDE,MANDERA,MANDERA,KENYA,3.934,41.844
1269,HKMB,RBT,MARSABIT,MARSABIT,KENYA,2.345,37.999
1270,HKMK,N/A,MULIKA,MERU,KENYA,0.23,38.17
1271,HKML,MYD,MALINDI,MALINDI,KENYA,-3.229,40.102
1272,HKMO,MBA,MOI INTERNATIONAL,MOMBASA,KENYA,-4.035,39.594
1273,HKMY,OYL,MOYALE LOWER,MOYALE LOWER,KENYA,3.47,39.101
1274,HKNI,NYE,NYERI,NYERI,KENYA,-0.369,36.98
1275,HKNV,N/A,NAIVASHA,NAIVASHA,KENYA,-0.788,36.433
1276,HKNW,WIL,NAIROBI WILSON,NAIROBI,KENYA,-1.322,36.815
1277,HKNY,NYK,NANYUKI,NANYUKI,KENYA,-0.061,37.039
1278,HKRE,N/A,NAIROBI EASTLEIGH,NAIROBI,KENYA,-1.277,36.862
1279,HKWJ,WJR,WAJIR,WAJIR,KENYA,1.733,40.091
1280,HLFL,N/A,BU ATTIFEL,BUATTIFEL,LIBYA,28.795,22.081
1281,HLGL,N/A,WAREHOUSE 59E,GIALLO,LIBYA,28.638,21.438
1282,HLGT,GHT,GHAT,GHAT,LIBYA,25.146,10.143
1283,HLKF,AKF,KUFRA,KUFRA,LIBYA,24.179,23.314
1284,HLLB,BEN,BENINA,BENGHAZI,LIBYA,32.097,20.269
1285,HLLQ,N/A,EL BEIDA,EL BEIDA,LIBYA,32.789,21.964
1286,HLLS,SEB,SEBHA,SEBHA,LIBYA,26.987,14.473
1287,HLLT,TIP,TRIPOLI INTERNATIONAL,TRIPOLI,LIBYA,32.663,13.159
1288,HLMB,N/A,MARSA BREGA,MARSA BREGA,LIBYA,30.378,19.576
1289,HLNF,N/A,RAS LANUF OIL,RAS LANOUF V 40,LIBYA,30.5,18.527
1290,HLON,N/A,HON,HON,LIBYA,29.11,15.966
1291,HLRA,N/A,DAHRA,DAHRA,LIBYA,29.47,17.931
1292,HLTD,LTD,GHADAMES EAST,GHADAMES,LIBYA,30.152,9.715
1293,HLZA,N/A,ZELLA 74,ZELLA 74,LIBYA,28.59,17.294
1294,HRYG,GYI,GISENYI,GISENYI,RWANDA,-1.677,29.259
1295,HRYR,KGL,KIGALI INTERNATIONAL,KIGALI,RWANDA,-1.969,30.139
1296,HRZA,KME,KAMEMBE,KAMEMBE,RWANDA,-2.462,28.908
1297,HSDN,DOG,DONGOLA,DONGOLA,SUDAN,19.154,30.43
1298,HSDZ,N/A,DAMAZIN,DAMAZIN,SUDAN,11.786,34.336
1299,HSFS,ELF,EL FASHER,EL FASHER,SUDAN,13.615,25.325
1300,HSKA,KSL,KASSALA,KASSALA,SUDAN,15.386,36.328
1301,HSNL,UYL,NYALA,NYALA,SUDAN,12.054,24.955
1302,HSOB,EBD,EL OBEID,EL OBEID,SUDAN,13.153,30.232
1303,HSSJ,JUB,JUBA,JUBA,SUDAN,4.872,31.601
1304,HSSM,MAK,MALAKAL,MALAKAL,SUDAN,9.559,31.652
1305,HSSP,PZU,PORT SUDAN,PORT SUDAN,SUDAN,19.576,37.216
1306,HSSS,KRT,KHARTOUM,KHARTOUM,SUDAN,15.589,32.553
1307,HSWW,WUU,WAU,WAU,SUDAN,7.726,27.979
1308,HTAR,ARK,ARUSHA,ARUSHA,TANZANIA,-3.368,36.633
1309,HTDA,DAR,DAR ES SALAAM,DAR ES SALAAM,TANZANIA,-6.878,39.203
1310,HTDO,DOD,DODOMA,DODOMA,TANZANIA,-6.17,35.752
1311,HTIR,IRI,IRINGA,IRINGA,TANZANIA,-7.669,35.752
1312,HTKJ,JRO,KILIMANJARO INTERNATIONAL,KILIMANJARO,TANZANIA,-3.429,37.074
1313,HTLM,N/A,LAKE MANYARA,LAKE MANYARA,TANZANIA,-3.376,35.818
